order_id,product_id,quantity,subtotal
36876,38168,2,439.7
665,22666,3,622.17
43969,9156,1,208.47
2482,23404,6,281.4
37466,8552,10,3523.5
28762,38331,2,125.98
31676,19674,10,633.9
32153,37665,8,1769.92
27931,46739,1,332.41
25102,8699,8,1834.64
12905,25514,3,899.88
31811,46027,6,2271.96
48045,28122,1,264.83
28965,32024,4,579.68
43118,9553,1,284.27
6102,1622,3,76.14
17316,45568,6,686.82
24611,4574,6,450.42
13383,35693,7,3178.21
556,26146,5,59.05
32173,24925,4,656.6
36524,14967,4,1311.52
3231,23130,5,1383.65
4542,12788,6,2392.32
4844,32873,6,2944.56
13915,3717,6,2144.04
5266,49096,8,710.88
36834,39588,9,3256.2
1628,16680,9,3869.91
19925,20599,7,1828.82
13702,25808,10,2369.9
10910,31029,9,3984.84
30952,30654,4,1840.76
2428,4401,4,395.32
461,47215,10,3771.7
46761,49990,9,3972.6
3787,3787,7,3230.29
39618,47424,5,364.4
48030,32111,10,4112.9
610,41471,5,2137.45
28845,46711,1,250.8
1090,46520,9,2298.24
1734,36332,8,3584.24
41059,28855,7,3128.72
15564,48094,3,998.97
48189,3434,7,3023.44
44893,40720,3,1195.11
4459,11295,3,921.0
37230,20774,5,1270.95
15612,2781,9,303.48
33567,11056,6,2645.82
43760,45157,5,1074.2
15946,43028,7,223.93
33146,16017,6,2185.26
34657,44089,7,1366.26
41118,19598,2,660.0
45827,9582,10,871.2
36490,38685,9,2490.03
13101,9063,2,685.16
30521,46037,4,1323.28
5224,31347,4,857.04
37959,23735,1,362.23
46867,21288,8,1089.52
10223,14700,6,2169.78
39142,47596,9,2082.42
31585,16087,9,3150.63
34311,14588,1,483.09
18895,31746,9,3435.21
25603,19045,10,1100.8
33784,32568,10,3292.6
28868,33305,6,2056.98
11783,39189,1,44.61
32601,18742,8,129.28
39631,17615,3,469.44
7978,14613,3,1457.58
5729,23464,4,1550.52
30497,9906,2,64.24
9397,24693,1,114.44
866,37548,1,81.74
15579,28626,2,216.42
18330,45088,9,1867.86
30975,26119,10,921.7
46681,25650,1,369.54
3356,20319,1,489.58
42264,37984,5,1596.5
24243,3611,10,3201.8
15790,29226,4,1964.56
6342,45797,5,1044.45
38506,6626,1,71.34
11858,47227,8,593.36
574,41069,10,201.7
28535,46457,8,2268.8
14551,40821,3,1292.37
27620,22705,3,142.26
29981,34773,6,1546.68
3162,15587,1,149.72
39938,39577,1,206.16
16983,23864,2,762.92
1033,14155,8,131.04
14698,6317,8,2230.4
39843,37675,8,778.56
44217,7962,1,191.56
21957,14718,6,2544.6
37580,33953,7,556.64
9565,45541,8,1475.84
2093,21558,9,115.65
20964,46604,10,4109.9
33342,35012,5,2339.8
47257,43365,4,1572.12
7655,3948,2,748.7
27110,23967,3,533.07
13155,17334,7,2850.26
13625,46448,4,1509.32
19396,44914,3,593.67
11407,27842,2,598.64
46648,19699,9,303.21
18621,685,2,858.72
20215,36181,8,3511.44
43826,36050,1,277.23
28032,28819,1,486.84
44626,47340,6,2555.28
12312,38753,4,1389.44
37785,10584,10,1756.8
33511,33637,1,270.3
18441,25181,10,1816.9
32308,28074,2,641.78
4472,14837,2,990.5
47474,13948,8,2995.04
32739,11921,4,1759.6
38617,35468,2,909.14
23638,31086,5,678.95
47216,35726,1,406.31
32094,8343,1,29.58
38999,16368,4,63.8
39117,2550,5,406.75
37291,9988,9,3416.94
19376,28696,4,146.4
18968,13878,10,3594.8
474,6016,5,1549.45
28836,12153,10,1337.3
38161,25734,2,20.08
38123,36895,5,1335.45
35094,23801,2,983.84
36053,1991,6,1795.08
27688,343,5,1716.1
36267,22996,5,270.45
6091,44971,4,750.2
29977,16843,9,1935.27
30327,2970,3,1069.77
21223,6938,1,177.25
15335,9668,10,3857.6
7353,48638,1,203.25
6652,38727,9,1157.94
42933,30556,8,3975.28
40622,40496,4,1820.72
43775,18080,2,50.66
