order_id,customer_id,order_date,total_amount
1,24110,2020-05-28,328.9
2,1029,2020-08-12,439.41
3,26999,2022-07-19,471.61
4,9255,2024-08-11,947.33
5,6096,2023-11-10,1083.65
6,3127,2020-07-01,1300.52
7,25820,2021-03-08,27.94
8,27469,2024-03-23,117.17
9,12454,2021-07-26,1195.5
10,1024,2022-01-03,279.59
11,48708,2022-03-08,1871.0
12,42329,2022-04-20,1702.47
13,42327,2021-01-20,322.97
14,8520,2022-03-19,1275.69
15,24980,2024-04-13,1225.72
16,15760,2020-03-16,1027.77
17,20276,2020-03-29,488.13
18,40088,2022-01-06,1796.08
19,2206,2020-06-01,382.49
20,42665,2024-01-31,1412.23
21,4081,2023-04-29,1145.0
22,914,2022-06-27,202.02
23,41118,2024-02-20,15.08
24,30194,2023-10-28,1292.06
25,39779,2022-02-24,1193.77
26,7634,2024-03-14,443.08
27,14697,2023-06-15,308.03
28,23583,2021-03-09,118.31
29,29740,2020-07-27,990.77
30,39833,2022-07-12,1479.28
31,40563,2023-01-24,60.48
32,35070,2021-06-24,1516.47
33,14584,2022-05-20,607.03
34,13769,2020-10-13,464.92
35,1194,2020-11-20,1922.13
36,34963,2024-11-24,1425.03
37,33787,2023-10-27,891.7
38,20887,2021-06-22,99.96
39,976,2020-07-27,769.55
40,31805,2024-09-05,808.19
41,27412,2024-06-24,1126.62
42,21362,2024-09-09,1125.99
43,42338,2023-01-19,164.46
44,46484,2023-11-20,1130.39
45,42719,2021-09-09,24.87
46,770,2024-08-10,1685.01
47,17221,2024-11-09,981.88
48,39783,2024-06-28,1005.86
49,13032,2024-05-18,1396.6
50,19675,2021-03-18,367.3
51,40587,2024-01-24,1097.29
52,36673,2021-01-07,1615.71
53,26945,2023-01-11,1066.57
54,28700,2022-12-10,194.84
55,46626,2023-09-28,572.39
56,33465,2022-04-01,1134.23
57,21859,2024-07-25,1994.08
58,11297,2023-05-03,295.78
59,45630,2022-06-01,931.24
60,28710,2021-03-18,603.99
61,41834,2021-02-09,1101.27
62,23979,2022-09-30,527.65
63,15204,2020-05-20,1993.29
64,17004,2023-10-05,677.48
65,28308,2021-09-26,1786.09
66,28506,2021-05-05,707.41
67,3632,2021-07-29,862.66
68,49192,2023-06-16,1954.03
69,6235,2022-07-13,547.1
70,35152,2021-01-21,1113.88
71,11858,2024-11-25,1242.27
72,45022,2020-08-27,1920.72
73,16638,2024-12-15,1291.35
74,31369,2021-01-05,174.52
75,41673,2021-12-27,1160.43
76,38006,2023-06-21,732.64
77,14055,2020-07-04,290.84
78,33851,2025-01-27,1127.93
79,4628,2021-10-11,1176.67
80,36134,2022-01-07,1256.19
81,27400,2024-04-29,560.22
82,5880,2022-07-31,250.66
83,9355,2023-02-23,915.24
84,22615,2021-11-13,417.88
85,15309,2021-05-27,1305.52
86,23263,2021-04-30,25.2
87,12402,2023-09-25,445.55
88,17507,2021-12-24,1782.39
89,41984,2023-02-15,584.31
90,45471,2022-08-03,935.22
91,2117,2023-06-03,527.22
92,21258,2022-07-20,1497.93
93,953,2023-10-29,1635.88
94,20234,2024-12-06,687.5
95,13627,2025-01-17,1172.17
96,41255,2023-11-08,1421.69
97,4239,2024-04-12,596.19
98,17086,2020-03-20,1431.29
99,15561,2022-09-10,1177.95
100,34020,2023-02-11,668.1
101,4097,2022-08-17,755.38
102,5461,2023-10-18,415.55
103,44909,2021-09-12,1483.52
104,9649,2020-12-21,586.87
105,40538,2022-11-16,1764.44
106,26096,2024-12-20,1110.46
107,41670,2021-03-10,172.29
108,18609,2022-04-07,827.16
109,14214,2024-06-07,441.96
110,28007,2021-10-12,936.85
111,47230,2020-10-04,1933.09
112,9332,2021-03-29,1476.54
113,35528,2024-07-12,1264.48
114,25569,2023-09-17,1040.8
115,30723,2023-02-21,1352.99
116,5246,2023-08-07,1745.54
117,42979,2022-03-11,1263.6
118,38545,2021-07-15,725.62
119,39918,2023-04-21,882.04
120,31137,2024-06-17,1859.81
121,1138,2024-10-10,1940.42
122,21642,2022-09-22,1216.56
123,44724,2021-07-02,1640.02
124,38810,2022-11-11,720.31
125,35458,2021-08-11,576.39
126,10189,2024-09-22,1375.32
127,28795,2022-12-07,842.73
128,32440,2025-01-08,1980.68
129,39398,2020-11-19,1902.77
130,13967,2022-02-25,1249.64
131,21250,2020-07-30,1891.85
132,8621,2023-01-18,1718.51
133,49238,2022-10-22,774.33
134,33312,2023-04-20,722.97
135,25575,2021-10-11,1984.67
136,32806,2021-10-05,1111.78
137,33833,2024-09-19,131.26
138,25975,2020-06-08,1211.75
139,4706,2024-12-20,383.76
140,5218,2023-09-13,972.56
141,47815,2020-10-29,930.25
142,26765,2020-10-30,1048.77
143,29435,2022-04-15,197.81
144,30958,2021-09-03,609.27
145,17206,2023-08-15,1457.16
146,3581,2020-03-28,1611.66
147,41333,2020-07-13,1273.14
148,36648,2024-07-24,1666.53
149,30565,2023-06-20,907.62
150,26898,2024-04-10,1056.72
151,14646,2020-12-10,630.92
152,25774,2021-05-09,49.75
153,11894,2020-09-27,665.06
154,43291,2024-01-18,1692.51
155,28462,2020-06-25,1495.79
156,19732,2020-07-28,1946.4
157,22261,2020-11-23,1243.16
158,44220,2021-01-11,607.18
159,2702,2020-06-07,659.81
160,40208,2023-05-10,1298.62
161,28622,2021-12-02,106.98
162,47140,2022-08-15,1488.77
163,22039,2023-03-09,1375.46
164,6079,2022-06-24,704.75
165,37839,2023-12-15,826.72
166,39908,2024-12-17,884.14
167,28584,2024-04-13,1213.33
168,46118,2022-02-13,528.3
169,16833,2023-10-27,1983.37
170,8356,2022-03-12,1735.02
171,47914,2022-12-23,431.29
172,19836,2024-05-11,372.34
173,45869,2025-02-13,978.78
174,9330,2023-01-01,1297.52
175,41514,2023-04-30,726.1
176,49684,2020-05-09,232.92
177,12664,2020-09-06,626.29
178,9075,2022-04-12,107.98
179,39824,2023-09-26,300.95
180,20193,2022-11-13,1369.52
181,2964,2024-05-31,512.67
182,16896,2021-12-07,1738.63
183,34168,2022-03-30,170.08
184,12233,2022-07-28,1551.72
185,17511,2024-03-15,573.73
186,40978,2024-04-28,1263.71
187,12782,2023-06-15,1458.94
188,10489,2021-12-20,274.47
189,47222,2023-08-29,602.63
190,37786,2025-02-14,112.37
191,242,2020-07-06,1275.88
192,12865,2022-10-14,1679.01
193,45915,2024-11-28,319.43
194,23651,2024-07-05,1959.46
195,44906,2025-03-03,142.25
196,37729,2021-12-23,1037.38
197,10661,2022-11-28,1125.28
198,36367,2024-06-07,1410.78
199,37412,2021-05-05,1304.49
200,42020,2022-06-23,276.6
201,1574,2025-01-05,915.36
202,39618,2020-07-18,1307.62
203,42415,2021-07-08,268.65
204,41769,2020-11-23,847.64
205,15777,2023-10-26,1106.84
206,35594,2021-01-12,152.89
207,18711,2022-04-15,1495.11
208,35525,2023-07-16,839.36
209,3562,2025-02-25,130.64
210,26791,2020-06-07,146.65
211,31419,2023-10-27,989.79
212,2566,2023-12-16,926.42
213,16246,2022-04-20,1678.37
214,28055,2022-12-24,1458.74
215,29624,2025-03-06,494.66
216,38638,2022-02-02,1950.49
217,5904,2023-07-05,1934.05
218,17623,2023-10-15,615.36
219,11563,2021-07-17,1047.33
220,5180,2020-04-14,992.45
221,26787,2022-06-26,655.03
222,9969,2023-08-09,22.44
223,10987,2024-01-20,1362.23
224,7976,2022-01-25,570.56
225,42295,2023-04-10,1222.87
226,9844,2022-09-15,812.23
227,24238,2024-05-03,1757.23
228,24923,2024-08-04,1576.92
229,9808,2021-11-09,1318.06
230,22427,2023-11-28,790.98
231,11370,2024-09-07,1665.37
232,46489,2020-11-15,1116.84
233,47766,2024-01-02,482.55
234,45320,2022-12-07,1870.69
235,16550,2021-11-06,1577.11
236,7018,2023-11-12,1303.81
237,12594,2024-01-10,172.74
238,20350,2023-11-29,63.92
239,49010,2024-09-26,1088.16
240,38595,2023-02-09,881.65
241,25358,2020-07-31,334.6
242,15781,2020-08-09,1669.47
243,31906,2020-09-16,900.48
244,39903,2021-04-07,1225.56
245,4551,2022-08-26,1297.8
246,39307,2020-10-31,1215.03
247,36989,2024-10-03,1252.99
248,22221,2021-08-17,78.23
249,12763,2024-08-23,1792.39
250,29664,2020-04-22,147.08
251,7610,2023-08-03,1272.99
252,32094,2025-01-11,848.45
253,7604,2023-12-29,1051.7
254,9659,2020-11-24,1304.65
255,26046,2025-02-04,168.0
256,25602,2023-12-16,399.57
257,18955,2025-02-14,992.13
258,9250,2021-12-14,1037.45
259,10345,2023-05-12,1011.29
260,4579,2023-10-23,1379.09
261,15969,2022-01-24,1239.73
262,38424,2022-05-09,1234.94
263,35129,2023-04-20,1323.03
264,2230,2024-11-23,1079.98
265,30358,2021-09-07,971.07
266,48024,2021-01-23,1369.33
267,24695,2025-02-08,1537.17
268,30641,2023-07-06,1656.65
269,42916,2025-03-02,769.79
270,48085,2023-12-03,1819.08
271,14224,2023-07-08,1391.35
272,39374,2021-01-07,1130.58
273,8061,2024-07-16,510.76
274,4797,2021-02-27,1159.91
275,10662,2020-05-02,1181.26
276,2525,2023-11-23,1846.78
277,14026,2024-10-19,521.95
278,39301,2022-02-02,575.71
279,784,2021-04-17,611.68
280,23848,2024-03-06,1766.38
281,4551,2020-09-02,1421.65
282,47517,2024-02-11,1568.64
283,20460,2025-02-24,1422.43
284,47018,2024-10-17,921.17
285,30849,2022-04-02,1789.92
286,44245,2023-09-26,1013.42
287,11094,2023-12-15,1771.53
288,32581,2022-06-05,854.12
289,9111,2023-04-03,1893.22
290,38316,2024-04-10,1140.38
291,26064,2021-08-30,1641.52
292,41589,2023-03-28,1099.59
293,49782,2022-06-28,1339.76
294,27695,2024-04-22,193.32
295,10741,2022-04-20,1895.11
296,43956,2021-05-02,71.15
297,26289,2023-03-24,795.1
298,11419,2024-07-26,392.66
299,36098,2022-10-06,1393.43
300,34877,2025-01-27,1001.82
301,19620,2023-11-08,1227.05
302,1565,2022-06-02,1945.53
303,11846,2024-05-29,1112.15
304,17682,2023-03-07,1864.44
305,25997,2024-10-27,1557.36
306,30319,2020-09-23,1012.2
307,16385,2022-02-17,1323.25
308,13874,2022-09-01,1091.74
309,37695,2024-01-20,1314.43
310,13893,2024-01-30,391.91
311,43144,2023-03-23,336.39
312,39878,2021-05-07,1925.34
313,17999,2022-12-18,635.25
314,1201,2023-10-30,1565.16
315,38549,2023-10-04,1024.06
316,19844,2021-06-20,996.91
317,24490,2021-05-20,1477.91
318,10968,2020-11-13,693.67
319,30369,2020-06-30,561.29
320,25599,2024-03-09,1973.9
321,46516,2024-04-26,948.64
322,30034,2024-08-11,1982.54
323,44029,2020-07-05,399.42
324,36886,2024-07-16,1049.26
325,49977,2023-08-03,1040.19
326,24364,2022-06-04,1082.92
327,19271,2021-02-20,740.23
328,46021,2020-05-10,612.32
329,25533,2024-10-23,1414.24
330,38270,2021-01-29,1704.37
331,31844,2020-08-17,1886.47
332,19793,2021-06-11,1779.68
333,2175,2022-10-12,1931.24
334,20460,2021-02-27,763.38
335,43567,2025-01-18,1750.79
336,42087,2023-11-08,89.48
337,21841,2024-06-06,215.93
338,3392,2020-05-14,1276.35
339,5196,2021-04-08,36.07
340,42069,2020-10-13,1787.75
341,18112,2020-08-20,775.71
342,42553,2024-09-28,512.62
343,6915,2021-07-20,72.35
344,2173,2021-07-09,1036.98
345,40607,2021-05-05,614.27
346,15256,2021-10-19,652.88
347,24063,2020-10-01,1260.74
348,24129,2021-10-09,1169.4
349,20311,2023-09-19,362.67
350,33561,2021-02-24,1241.27
351,31205,2023-02-25,219.53
352,14441,2025-03-04,287.71
353,44132,2023-01-15,862.5
354,22710,2021-08-06,1508.93
355,49777,2023-01-22,488.69
356,27267,2021-06-18,217.59
357,8573,2020-06-16,1758.8
358,38102,2020-11-26,641.18
359,34003,2024-11-01,1230.28
360,4957,2022-05-11,307.34
361,14786,2020-10-29,621.13
362,23830,2021-08-17,1371.76
363,26577,2024-08-29,1846.06
364,27269,2023-06-14,1158.62
365,2924,2025-01-19,940.53
366,504,2024-05-04,361.98
367,2947,2024-12-03,432.76
368,31701,2023-09-01,1853.6
369,47839,2023-03-26,903.6
370,44726,2022-08-24,935.69
371,17297,2023-10-02,552.69
372,8216,2023-07-30,747.61
373,11665,2024-01-28,1303.93
374,39628,2023-05-12,992.24
375,24916,2021-04-27,833.07
376,37022,2021-05-10,338.6
377,14144,2022-04-15,1038.33
378,18704,2022-04-23,1145.11
379,19476,2023-06-24,942.82
380,5774,2024-03-09,566.49
381,35873,2021-04-24,872.3
382,12341,2023-08-14,292.24
383,14822,2021-05-20,1357.6
384,19730,2021-10-20,71.64
385,6382,2023-03-18,1305.68
386,46499,2023-01-05,963.03
387,39685,2021-03-18,1723.04
388,7575,2022-08-04,711.11
389,7817,2021-02-28,1847.24
390,589,2022-06-13,907.66
391,32851,2023-06-23,465.0
392,464,2024-03-18,528.06
393,21790,2022-09-02,496.62
394,30723,2021-04-01,325.09
395,39330,2022-04-12,200.69
396,18219,2023-04-23,327.79
397,22444,2023-09-18,180.58
398,11422,2024-10-01,775.11
399,8863,2020-07-04,765.73
400,2958,2021-12-23,1856.04
401,14061,2022-11-22,1740.57
402,9681,2023-09-30,594.19
403,2097,2021-12-10,1759.75
404,9239,2020-08-29,1253.74
405,25671,2020-05-23,664.84
406,31382,2023-05-29,1237.88
407,38116,2023-10-13,584.7
408,32749,2020-07-02,1400.94
409,1356,2020-04-02,1171.2
410,28530,2023-09-30,1087.27
411,963,2024-12-09,1458.5
412,17136,2023-08-19,1220.61
413,19966,2020-07-23,1474.52
414,28079,2022-08-24,159.15
415,18079,2023-10-14,572.81
416,30025,2020-10-29,417.73
417,17992,2021-07-23,1681.07
418,41521,2022-09-18,840.27
419,5748,2023-07-18,1405.89
420,21236,2024-01-09,1816.8
421,39474,2024-04-24,157.72
422,13157,2020-08-02,1046.4
423,12788,2024-11-13,966.11
424,8109,2023-09-19,170.62
425,32,2020-12-08,1928.62
426,1465,2024-04-01,458.12
427,16528,2021-01-14,1469.9
428,36638,2024-09-23,1978.18
429,34780,2024-08-13,551.08
430,28516,2023-08-30,1621.42
431,42502,2024-03-15,1765.97
432,26259,2020-03-19,846.16
433,24964,2020-05-08,504.34
434,19567,2022-07-27,1350.46
435,22750,2022-11-22,1335.78
436,7177,2021-03-01,1833.0
437,29879,2022-03-07,1773.11
438,26445,2022-07-07,1556.05
439,394,2020-08-21,1151.19
440,36705,2020-08-11,1159.2
441,29062,2023-08-29,378.24
442,11660,2023-06-05,871.48
443,18352,2021-04-14,1338.68
444,40724,2025-02-25,1885.96
445,32131,2024-12-15,1603.41
446,18443,2021-03-05,522.58
447,27177,2022-01-28,1512.4
448,46391,2020-05-17,1261.64
449,46704,2023-12-20,1878.01
450,12697,2022-02-17,1393.42
451,40518,2024-01-31,1975.39
452,4160,2022-08-30,1826.01
453,25683,2024-08-17,1557.2
454,43837,2020-08-18,944.61
