product_id,name,category,price,stock_quantity,created_at
1,Six Product,Electronics,362.45,414,2025-01-02
2,Movement Gadget,Electronics,164.3,144,2022-04-16
3,Figure Item,Clothing,406.35,148,2021-05-08
4,Exist Accessory,Books,247.38,1,2021-07-13
5,Put Accessory,Electronics,275.57,459,2021-02-09
6,Modern Gadget,Clothing,411.74,161,2020-05-03
7,Several Item,Clothing,485.75,451,2020-03-26
8,General Gadget,Home & Kitchen,125.01,402,2023-11-04
9,Want Gadget,Automotive,491.6,52,2022-07-26
10,Go Accessory,Clothing,130.19,187,2024-08-18
11,My Product,Automotive,448.93,127,2022-10-22
12,Two Item,Toys,405.02,369,2021-08-08
13,Section Gadget,Beauty,379.3,159,2022-05-01
14,Assume Item,Beauty,357.11,361,2021-05-20
15,Central Item,Clothing,251.68,451,2020-05-24
16,A Item,Books,183.89,363,2021-02-07
17,Send Gadget,Home & Kitchen,297.15,32,2021-02-02
18,Thought Product,Home & Kitchen,447.75,133,2021-12-29
19,However Accessory,Books,46.64,264,2022-04-15
20,Place Gadget,Clothing,129.07,15,2024-03-27
21,Carry Product,Home & Kitchen,27.07,104,2022-10-31
22,Million Product,Automotive,32.92,145,2023-07-08
23,Article Gadget,Books,381.14,168,2022-01-02
24,Discuss Product,Home & Kitchen,284.61,15,2024-03-07
25,Executive Accessory,Home & Kitchen,119.58,78,2024-07-20
26,Indicate Accessory,Beauty,170.91,94,2020-06-18
27,Air Product,Electronics,105.55,69,2023-03-19
28,Before Gadget,Clothing,85.27,246,2024-02-08
29,Collection Accessory,Beauty,233.42,319,2022-10-20
30,Light Product,Beauty,280.46,447,2023-03-06
31,Truth Product,Clothing,48.68,331,2024-06-17
32,Support Accessory,Home & Kitchen,166.29,123,2022-01-10
33,Movie Accessory,Home & Kitchen,229.68,324,2024-10-28
34,Line Item,Books,332.4,247,2022-10-13
35,Be Gadget,Clothing,194.13,306,2020-09-30
36,Factor Product,Toys,11.79,117,2020-12-06
37,Short Gadget,Books,162.14,65,2021-03-19
